Level1,Level2,Level3,Level4,Total,Paper_ID,Top_Words1,Top_Topic1
2005-2008,0,Causal inference in sensorimotor integration,A Bayesian Model of Conditioned Perception,0,3141,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,0,Causal inference in sensorimotor integration,Characterizing response behavior in multisensory perception with conflicting cues,0.38,3141,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,0,Causal inference in sensorimotor integration,"Multisensory Encoding, Decoding, and Identification",0.893,3141,"model, data, learning, models, figure, two, image, distribution, images, one",4
2014-2017,1,Online Learning with Gaussian Payoffs and Side Observations,Causal Bandits: Learning Good Interventions via Causal Inference,0.083,6033,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2011-2014,2,Adaptive dropout for training deep neural networks,Altitude Training: Strong Bounds for Single-Layer Dropout,54.561,5032,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,2,Adaptive dropout for training deep neural networks,Variational Dropout and the Local Reparameterization Trick,0.052,5032,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,2,Adaptive dropout for training deep neural networks,Improved Dropout for Shallow and Deep Learning,0.105,5032,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,3,Bayesian Optimization with Exponential Convergence,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,83.099,5715,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,2.075,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,0.059,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,0.146,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,0.146,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,61.661,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,0.175,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,25.456,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,29.19,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,2.629,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,676.467,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,4.317,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,2.495,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,3.026,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,143.547,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,0.16,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,3.339,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,0.196,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,6.953,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,3.649,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,0.59,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,20.844,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,6.95,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,21.257,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,3.933,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",0.322,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,14.103,2882,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2005-2008,5,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,2.395,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
