,Level1,Level2,Level3,Level4,Total
0,2014-2017,0,Bayesian Optimization with Exponential Convergence,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,1
1,2008-2011,1,t-logistic regression,t-divergence Based Approximate Inference,1
2,2008-2011,1,t-logistic regression,Distributionally Robust Logistic Regression,1
3,2008-2011,1,t-logistic regression,Learning with Symmetric Label Noise: The Importance of Being Unhinged,1
4,2014-2017,2,Bayesian dark knowledge,Bootstrap Model Aggregation for Distributed Statistical Learning,1
5,2014-2017,2,Bayesian dark knowledge,Bayesian Optimization with Robust Bayesian Neural Networks,1
6,2014-2017,2,Bayesian dark knowledge,A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,1
7,2014-2017,2,Bayesian dark knowledge,Conditional Generative Moment-Matching Networks,1
8,2014-2017,2,Bayesian dark knowledge,Natural-Parameter Networks: A Class of Probabilistic Neural Networks,1
9,2014-2017,3,Copula variational inference,Stein Variational Gradient Descent: A General Purpose Bayesian Inference Algorithm,1
10,2014-2017,3,Copula variational inference,Scaling Factorial Hidden Markov Models: Stochastic Variational Inference without Messages,1
11,1999-2002,4,Prodding the ROC Curve: Constrained Optimization of Classifier Performance,Confidence Intervals for the Area Under the ROC Curve,1
12,1993-1996,5,Independent Component Analysis of Electroencephalographic Data,Extended ICA Removes Artifacts from Electroencephalographic Recordings,1
13,2008-2011,6,Efficient Large-Scale Distributed Training of Conditional Maximum Entropy Models,Communication-Efficient Algorithms for Statistical Optimization,1
14,2005-2008,7,Speakers optimize information density through syntactic reduction,Inference and communication in the game of Password,1
15,2005-2008,7,Speakers optimize information density through syntactic reduction,Why are some word orders more common than others? A uniform information density account,1
16,2005-2008,8,MAS: a multiplicative approximation scheme for probabilistic inference,Approximate Inference by Compilation to Arithmetic Circuits,1
17,2008-2011,9,MAS: a multiplicative approximation scheme for probabilistic inference,Approximate Inference by Compilation to Arithmetic Circuits,1
18,1999-2002,10,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1
19,1999-2002,10,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,1
20,2002-2005,11,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1
21,2002-2005,11,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,1
22,2011-2014,12,Exponential Concentration of a Density Functional Estimator,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",1
23,2014-2017,13,Exponential Concentration of a Density Functional Estimator,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",1
24,2011-2014,0,Multimodal Learning with Deep Boltzmann Machines,Expressing an Image Stream with a Sequence of Natural Sentences,1
25,1990-1993,1,Learning to categorize objects using temporal coherence,Learning Temporally Persistent Hierarchical Representations,1
26,1990-1993,1,Learning to categorize objects using temporal coherence,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,1
27,2008-2011,2,Neurometric function analysis of population codes,Evaluating neuronal codes for inference using Fisher information,1
28,2008-2011,2,Neurometric function analysis of population codes,Implicit encoding of prior probabilities in optimal neural populations,1
29,2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Gaussian Process Models for Link Analysis and Transfer Learning,1
30,2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Confidence Sets for Network Structure,1
31,2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,1
32,2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,1
33,2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Stochastic blockmodel approximation of a graphon: Theory and consistent estimation,1
34,2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,1
35,2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Bayesian latent structure discovery from multi-neuron recordings,1
36,2005-2008,4,Supervised Topic Models,Latent Support Measure Machines for Bag-of-Words Data Classification,1
37,2008-2011,5,Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,1
38,2011-2014,6,Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,1
39,2005-2008,7,A recipe for optimizing a time-histogram,Bayesian binning beats approximate alternatives: estimating peri-stimulus time histograms,1
40,1990-1993,8,Diffusion Approximations for the Constant Learning Rate Backpropagation Algorithm and Resistence to Local Minima,Asymptotics of Gradient-based Neural Network Training Algorithms,1
41,1993-1996,9,Examples of learning curves from a modified VC-formalism,MLP Can Provably Generalize Much Better than VC-bounds Indicate,1
