Level1,Level2,Level3,Level4,Citations,Papers,Paper_ID,Top_Words1,Top_Topic1,KCluster
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Causal inference in sensorimotor integration,A Bayesian Model of Conditioned Perception,1,1,3141,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Causal inference in sensorimotor integration,Characterizing response behavior in multisensory perception with conflicting cues,1,1,3141,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Causal inference in sensorimotor integration,"Multisensory Encoding, Decoding, and Identification",1,1,3141,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2014-2017,"lower, algorithm, problem, bounds, action, bound, feedback, log, regret, minimax",Online Learning with Gaussian Payoffs and Side Observations,Causal Bandits: Learning Good Interventions via Causal Inference,1,1,6033,"lower', u'algorithm', u'problem', u'bounds', u'action', u'bound', u'feedback', u'log', u'regret', u'minimax']",[9],6
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Adaptive dropout for training deep neural networks,Altitude Training: Strong Bounds for Single-Layer Dropout,1,1,5032,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Adaptive dropout for training deep neural networks,Variational Dropout and the Local Reparameterization Trick,1,1,5032,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Adaptive dropout for training deep neural networks,Improved Dropout for Shallow and Deep Learning,1,1,5032,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,"bound, optimization, function, algorithm, imgpo, regret, ucb, global, max, interval",Bayesian Optimization with Exponential Convergence,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,1,1,5715,"bound', u'optimization', u'function', u'algorithm', u'imgpo', u'regret', u'ucb', u'global', u'max', u'interval']",[4],4
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
