Level1,Level2,Level3,Level4,Federal,,Total
Pensions,Sickness and disability,,,0,,0
Pensions,Old age,Federal employee retirement and disability (602),Special Benefits,0.38,b,0.38
Pensions,Old age,Federal employee retirement and disability (602),Foreign Service Retirement and Disability Fund,0.893,b,0.893
Pensions,Old age,Federal employee retirement and disability (602),Armed Forces Retirement Home,0.083,b,0.083
Pensions,Old age,Federal employee retirement and disability (602),Military Retirement Fund,54.561,b,54.561
Pensions,Old age,Federal employee retirement and disability (602),"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",0.052,b,0.052
Pensions,Old age,Federal employee retirement and disability (602),Civil Service Retirement and Disability Fund,0.105,b,0.105
Pensions,Old age,Federal employee retirement and disability (602),Civil Service Retirement and Disability Fund,83.099,b,83.099
Pensions,Old age,Federal employee retirement and disability (602),Employees Life Insurance Fund,2.075,b,2.075
Pensions,Old age,Federal employee retirement and disability (602),Judicial Officers' Retirement Fund,0.059,b,0.059
Pensions,Old age,Federal employee retirement and disability (602),"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",0.146,b,0.146
Pensions,Old age,Federal employee retirement and disability (602),Program Expenses,0.146,b,0.146
Pensions,Old age,Social security (651),Payments to Social Security Trust Funds,61.661,b,61.661
Pensions,Old age,Social security (651),"Administrative Expenses, Recovery Act",0.175,b,0.175
Pensions,Old age,Social security (651),"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",25.456,b,25.456
Pensions,Old age,Social security (651),"FOASI, Federal Payments to the FOASI Trust Fund",29.19,b,29.19
Pensions,Old age,Social security (651),Federal Oldage and Survivors Insurance Trust Fund,2.629,b,2.629
Pensions,Old age,Social security (651),Federal Oldage and Survivors Insurance Trust Fund,676.467,b,676.467
Pensions,Old age,Social security (651),"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",4.317,b,4.317
Pensions,Old age,Social security (651),"FDI, Federal Payments to the FDI Trust Fund",2.495,b,2.495
Pensions,Old age,Social security (651),Federal Disability Insurance Trust Fund,3.026,b,3.026
Pensions,Old age,Social security (651),Federal Disability Insurance Trust Fund,143.547,b,143.547
Pensions,Old age,Social security (651),Limitation on Administrative Expenses,0.16,b,0.16
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund",3.339,b,3.339
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree Health Care Fund",0.196,b,0.196
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Department of Defense Contributions, DoD MedicareEligible Retiree Health Care Fund",6.953,b,6.953
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","FHI Trust Fund, Federal Employer Contributions (FICA)",3.649,b,3.649
